junctionid,edge1_vehicle_count,edge2_vehicle_count,edge1_waiting_vehicle_count,edge2_waiting_vehicle_count,edge1_light_state,edge2_light_state,nextswitchtime,edge1_congestion,edge2_congestion,label
cluster_1420096799_47154676,0,1,0,0,y,r,3.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,2,0,0,0,y,r,2.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,3,0,2,r,r,0.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,7,11,3,10,G,r,1.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,0,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,r,0.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,G,r,3.0,Non-Congested,Congested,1
47217361,2,1,0,0,y,r,0.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,0,y,r,2.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,1,0,0,0,y,r,1.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,3,0,1,r,G,4.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,5,11,3,10,G,r,0.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,0,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,10,0,0,G,r,4.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,G,r,2.0,Non-Congested,Congested,1
47217361,1,2,0,0,r,r,4.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,0,y,r,1.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,1,0,0,0,y,r,0.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,2,0,0,r,G,3.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,5,11,3,10,G,r,4.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,0,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,1,G,r,3.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,G,r,1.0,Non-Congested,Congested,1
47217361,1,2,0,0,r,r,3.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,1,y,r,0.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,1,0,0,0,r,G,4.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,2,0,0,r,G,2.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,6,11,3,11,G,r,3.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,10,0,2,G,r,2.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,G,r,0.0,Non-Congested,Congested,1
47217361,1,2,1,0,r,r,2.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,1,r,r,6.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,1,0,0,0,r,G,3.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,2,0,0,r,G,1.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,5,11,3,11,G,r,2.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,2,G,r,1.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,y,r,2.0,Non-Congested,Congested,1
47217361,1,2,1,0,r,r,1.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,1,r,r,5.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,1,0,0,0,r,G,2.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,0,r,G,0.0,Non-Congested,Congested,2
cluster_2461783448_38980632_5243070374,5,11,3,11,G,r,1.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,3,G,r,0.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,y,r,1.0,Non-Congested,Congested,1
47217361,1,1,1,0,r,r,0.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,1,r,r,4.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,1,0,0,0,r,G,1.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,2,0,0,r,y,3.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,5,11,3,11,G,r,0.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,3,y,r,2.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,y,r,0.0,Non-Congested,Congested,1
47217361,1,2,1,0,r,r,1.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,1,r,r,3.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,1,0,0,0,r,G,0.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,2,0,0,r,y,2.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,4,11,3,11,G,r,9.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,4,y,r,1.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,G,4.0,Non-Congested,Congested,2
47217361,1,2,1,0,r,r,0.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,1,r,r,2.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,1,0,0,0,r,y,3.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,0,r,y,1.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,4,11,3,11,G,r,8.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,5,y,r,0.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,G,3.0,Non-Congested,Congested,2
47217361,1,2,1,0,r,r,0.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,1,r,r,1.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,1,0,0,0,r,y,2.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,0,r,y,0.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,7.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,4,r,G,4.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,G,2.0,Non-Congested,Congested,2
47217361,1,3,1,0,r,r,0.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,1,r,r,0.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,1,0,0,0,r,y,1.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,0,G,r,4.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,6.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,5,r,G,3.0,Non-Congested,Congested,2
132200274,0,5,0,5,r,G,1.0,Non-Congested,Congested,2
47217361,1,3,1,0,r,r,2.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,1,r,r,3.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,1,0,0,0,r,y,0.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,2,0,1,G,r,3.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,5.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,4,r,G,2.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,G,0.0,Non-Congested,Congested,2
47217361,1,3,1,0,r,r,1.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,1,r,r,2.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,2,0,1,G,r,2.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,4.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,4,r,G,1.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,y,2.0,Non-Congested,Congested,1
47217361,1,4,1,0,r,r,0.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,1,r,r,1.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,1,G,r,1.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,3.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,3,r,G,0.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,y,1.0,Non-Congested,Congested,1
47217361,1,4,1,0,r,G,4.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,1,r,r,0.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,1,G,r,0.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,2.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,2,r,G,1.0,Non-Congested,Congested,2
132200274,0,5,0,5,r,y,0.0,Non-Congested,Congested,1
47217361,1,3,1,0,r,G,3.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,0,1,0,0,r,G,6.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,0,1,0,0,G,r,3.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,1,y,r,3.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,1.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,3,r,G,0.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,G,r,4.0,Non-Congested,Congested,1
47217361,1,2,1,0,r,G,2.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,0,1,0,0,G,r,2.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,1,y,r,2.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,11,3,11,G,r,0.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,1,r,G,1.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,G,r,3.0,Non-Congested,Congested,1
47217361,1,1,1,0,r,G,1.0,Non-Congested,Non-Congested,0
cluster_181310323_5380872437,0,1,0,0,G,r,1.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,1,y,r,1.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,11,3,11,y,r,4.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,1,r,G,0.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,G,r,2.0,Non-Congested,Congested,1
47217361,1,2,1,0,r,G,0.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,1,y,r,0.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,11,3,11,y,r,3.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,1,r,G,1.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,G,r,1.0,Non-Congested,Congested,1
47217361,1,1,1,0,r,G,0.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,0,r,r,6.0,Non-Congested,Congested,1
cluster_2461783448_38980632_5243070374,3,11,3,11,y,r,2.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,0.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,G,r,0.0,Non-Congested,Congested,1
47217361,1,1,1,0,r,y,2.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,11,3,11,y,r,1.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,1.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,y,r,2.0,Non-Congested,Congested,1
47217361,1,1,1,0,r,y,1.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,0,r,r,4.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,11,3,11,y,r,0.0,Congested,Congested,5
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,0,r,G,0.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,y,r,1.0,Non-Congested,Congested,1
47217361,1,1,1,0,r,y,0.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,1,0,0,0,r,y,3.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,3,10,2,10,r,G,4.0,Congested,Non-Congested,4
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,1.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,y,r,0.0,Non-Congested,Congested,1
47217361,1,0,0,0,G,r,4.0,Non-Congested,Non-Congested,0
cluster_1420096799_47154676,1,0,0,0,r,y,2.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,2,10,1,9,r,G,3.0,Congested,Non-Congested,4
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,0,r,G,0.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,G,4.0,Non-Congested,Congested,2
cluster_1420096799_47154676,1,0,0,0,r,y,1.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,0,r,r,1.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,2,10,0,8,r,G,2.0,Non-Congested,Non-Congested,4
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,0.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,G,3.0,Non-Congested,Congested,2
cluster_1420096799_47154676,1,0,0,0,r,y,0.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,0,r,r,0.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,2,10,0,7,r,G,1.0,Non-Congested,Non-Congested,4
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,1.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,G,2.0,Non-Congested,Congested,2
cluster_1420096799_47154676,1,0,0,0,G,r,6.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,0,1,0,0,r,r,0.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,2,10,0,6,r,G,0.0,Non-Congested,Non-Congested,4
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,0,r,G,0.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,G,1.0,Non-Congested,Congested,2
cluster_1420096799_47154676,1,0,0,0,G,r,5.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,2,10,0,6,r,y,4.0,Non-Congested,Non-Congested,4
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,1.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,9,0,0,r,G,1.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,G,0.0,Non-Congested,Congested,2
cluster_2455590523_389713_47212064,0,2,0,0,r,r,2.0,Non-Congested,Non-Congested,0
cluster_2461783448_38980632_5243070374,2,10,1,5,r,y,3.0,Non-Congested,Non-Congested,0
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,0.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,0,r,G,0.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,y,2.0,Non-Congested,Congested,1
47217361,1,0,0,0,y,r,1.0,Non-Congested,Non-Congested,0
cluster_2455590523_389713_47212064,1,2,0,0,r,r,1.0,Non-Congested,Congested,1
cluster_2461783448_38980632_5243070374,3,10,1,4,r,y,2.0,Non-Congested,Non-Congested,0
cluster_2461880040_2461880142_8131892137,1,2,1,2,r,r,4.0,Non-Congested,Congested,1
cluster_2461880136_4910664147_50607912_8131882097,0,8,0,0,r,G,1.0,Non-Congested,Non-Congested,0
132200274,0,5,0,5,r,y,1.0,Non-Congested,Congested,1
